trajectory,date,new_confirmed,cum_new_confirmed,new_chicken,new_duck,new_broiler_1,new_broiler_2,new_conventional,new_layer,new_organic
1,2026-01-14,0,0,0,0,0,0,0,0,0
1,2026-01-15,0,0,0,0,0,0,0,0,0
1,2026-01-16,0,0,0,0,0,0,0,0,0
1,2026-01-17,0,0,0,0,0,0,0,0,0
1,2026-01-18,0,0,0,0,0,0,0,0,0
1,2026-01-19,0,0,0,0,0,0,0,0,0
1,2026-01-20,0,0,0,0,0,0,0,0,0
1,2026-01-21,0,0,0,0,0,0,0,0,0
1,2026-01-22,0,0,0,0,0,0,0,0,0
1,2026-01-23,0,0,0,0,0,0,0,0,0
1,2026-01-24,0,0,0,0,0,0,0,0,0
1,2026-01-25,8,8,5,3,2,3,2,0,1
1,2026-01-26,3,11,3,0,0,2,0,1,0
1,2026-01-27,2,13,1,1,0,1,1,0,0
1,2026-01-28,3,16,3,0,1,2,0,0,0
1,2026-01-29,4,20,4,0,2,2,0,0,0
1,2026-01-30,1,21,1,0,0,1,0,0,0
1,2026-01-31,2,23,2,0,2,0,0,0,0
1,2026-02-01,4,27,4,0,1,3,0,0,0
1,2026-02-02,2,29,2,0,0,2,0,0,0
1,2026-02-03,2,31,2,0,0,1,0,1,0
1,2026-02-04,3,34,3,0,1,2,0,0,0
1,2026-02-05,2,36,2,0,2,0,0,0,0
1,2026-02-06,1,37,1,0,1,0,0,0,0
1,2026-02-07,2,39,2,0,0,1,0,1,0
1,2026-02-08,0,39,0,0,0,0,0,0,0
1,2026-02-09,1,40,1,0,1,0,0,0,0
1,2026-02-10,2,42,2,0,0,2,0,0,0
2,2026-01-14,0,0,0,0,0,0,0,0,0
2,2026-01-15,0,0,0,0,0,0,0,0,0
2,2026-01-16,0,0,0,0,0,0,0,0,0
2,2026-01-17,0,0,0,0,0,0,0,0,0
2,2026-01-18,0,0,0,0,0,0,0,0,0
2,2026-01-19,0,0,0,0,0,0,0,0,0
2,2026-01-20,0,0,0,0,0,0,0,0,0
2,2026-01-21,0,0,0,0,0,0,0,0,0
2,2026-01-22,0,0,0,0,0,0,0,0,0
2,2026-01-23,0,0,0,0,0,0,0,0,0
2,2026-01-24,0,0,0,0,0,0,0,0,0
2,2026-01-25,3,3,2,1,0,1,1,1,0
2,2026-01-26,6,9,6,0,2,3,0,1,0
2,2026-01-27,1,10,0,1,0,0,1,0,0
2,2026-01-28,6,16,3,3,2,1,2,0,1
2,2026-01-29,0,16,0,0,0,0,0,0,0
2,2026-01-30,2,18,1,1,0,0,1,1,0
2,2026-01-31,0,18,0,0,0,0,0,0,0
2,2026-02-01,6,24,3,3,1,1,2,1,1
2,2026-02-02,2,26,2,0,1,1,0,0,0
2,2026-02-03,2,28,1,1,0,1,1,0,0
2,2026-02-04,2,30,2,0,0,1,0,1,0
2,2026-02-05,4,34,1,3,0,1,3,0,0
2,2026-02-06,2,36,1,1,0,1,1,0,0
2,2026-02-07,3,39,2,1,1,1,1,0,0
2,2026-02-08,0,39,0,0,0,0,0,0,0
2,2026-02-09,5,44,5,0,1,4,0,0,0
2,2026-02-10,1,45,1,0,0,1,0,0,0
3,2026-01-14,0,0,0,0,0,0,0,0,0
3,2026-01-15,0,0,0,0,0,0,0,0,0
3,2026-01-16,0,0,0,0,0,0,0,0,0
3,2026-01-17,0,0,0,0,0,0,0,0,0
3,2026-01-18,0,0,0,0,0,0,0,0,0
3,2026-01-19,0,0,0,0,0,0,0,0,0
3,2026-01-20,0,0,0,0,0,0,0,0,0
3,2026-01-21,0,0,0,0,0,0,0,0,0
3,2026-01-22,0,0,0,0,0,0,0,0,0
3,2026-01-23,0,0,0,0,0,0,0,0,0
3,2026-01-24,0,0,0,0,0,0,0,0,0
3,2026-01-25,4,4,3,1,0,3,1,0,0
3,2026-01-26,10,14,7,3,1,6,3,0,0
3,2026-01-27,8,22,6,2,2,4,1,0,1
3,2026-01-28,5,27,5,0,1,3,0,1,0
3,2026-01-29,7,34,6,1,1,3,1,2,0
3,2026-01-30,5,39,3,2,1,0,2,2,0
3,2026-01-31,2,41,2,0,1,1,0,0,0
3,2026-02-01,2,43,2,0,1,1,0,0,0
3,2026-02-02,2,45,1,1,0,1,1,0,0
3,2026-02-03,4,49,2,2,1,1,2,0,0
3,2026-02-04,2,51,2,0,1,1,0,0,0
